# HAN (c) Todt
ID	WCFS1.glc.over.NC8.glc	fdr.WCFS1.glc.over.NC8.glc
lp_0224	-0.3793648947	0.2240096746
lp_0225	-0.0563834343	0.9347857681
lp_0226	0.4995647993	0.012760865
lp_0228	0.0709740655	0.8798049496
lp_0230	-1.1833921836	3.70E-007
lp_0231	-0.6046178976	0.0027249788
lp_0232	-0.4618166008	0.2364436771
lp_0233	-0.3837960442	0.0954670706
lp_0235	-0.1873942419	0.541218215
lp_0236	0.6287428866	0.0010864146
lp_0239	0.3823551587	0.1847237539
lp_0240	0	1
lp_0242	-0.0105986383	0.9847641827
lp_0243	0.048451665	0.9012347628
lp_0244	0.1573206485	0.6751209676
lp_0254	-0.4949465185	0.2257096325
lp_0255	0.1245850058	0.7617729912
lp_0256	-0.1891240459	0.692169931
lp_0257	0.141165875	0.5785665033
lp_0259	0.3977384055	0.091193378
lp_0260	-1.3938023467	0.0318949088
lp_0261	0	1
lp_0262	-0.205451523	0.4688575938
lp_0263	-0.7215471048	2.73E-005
lp_0266	-0.0400528042	0.9600794233
lp_0271	2.7719977124	2.35E-037
lp_0272	2.697417772	1.09E-035
lp_0273	-0.277779709	0.4297369942
lp_0274	-0.0572564815	0.9152625707
lp_0275	-0.0385483307	0.9120001514
lp_0276	0.3536303723	0.6900208123
lp_0277	0	1
lp_0279	0	1
lp_0280	0	1
lp_0281	0.006319307	0.9934876429
lp_0282	-0.0427343305	0.9446898989
lp_0283	-0.0831215799	0.8692738103
lp_0284	0.181539377	0.673881498
lp_0285	-0.273491128	0.3584558642
lp_0286	-0.4368156066	0.0457473704
lp_0287	0.1935460442	0.6592721662
lp_0289	-1.0014484917	0.1175584035
lp_0290	-0.2292972821	0.6311496967
lp_0291	0.1145645504	0.784270168
lp_0292	-0.3328431449	0.1104820166
lp_0293	-0.265127426	0.4039915492
lp_0294	-0.1285241387	0.7778385261
lp_0295	-0.3005841378	0.1207866927
lp_0296	0.3971790514	0.0900179508
lp_0298	0.6796623056	0.1342185344
lp_0299	0	1
lp_0300	-0.056025414	0.9152625707
